landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,geometry,rural_ring_median,uhi_local
4,Crops,1.6390152611028157,30.85627874564464,,"POLYGON ((76.8 28.39999999999999, 76.80749999999999 28.399999999999995, 76.80749999999999 28.40625, 76.8 28.40625, 76.8 28.39999999999999))",,
4,Crops,1.8235254342273128,30.95252422318748,,"POLYGON ((76.80749999999999 28.399999999999995, 76.81499999999998 28.399999999999995, 76.81499999999998 28.40625, 76.80749999999999 28.40625, 76.80749999999999 28.399999999999995))",,
4,Crops,2.432001756252469,30.63085620235623,,"POLYGON ((76.815 28.399999999999995, 76.82249999999999 28.4, 76.82249999999999 28.40625, 76.815 28.40625, 76.815 28.399999999999995))",,
4,Crops,3.65732199216293,30.688843886272505,,"POLYGON ((76.82249999999999 28.4, 76.82999999999998 28.399999999999995, 76.82999999999998 28.40625, 76.82249999999999 28.40625, 76.82249999999999 28.4))",,
4,Crops,3.5830984864453503,30.86849017030204,,"POLYGON ((76.83 28.39999999999999, 76.83749999999999 28.4, 76.83749999999999 28.40625, 76.83 28.40625, 76.83 28.39999999999999))",,
4,Crops,4.462478866062518,30.939284884685595,,"POLYGON ((76.83749999999999 28.4, 76.84499999999998 28.399999999999995, 76.84499999999998 28.40625, 76.83749999999999 28.40625, 76.83749999999999 28.4))",,
4,Crops,6.810135776603969,30.9107599137216,,"POLYGON ((76.845 28.399999999999995, 76.85249999999999 28.399999999999995, 76.85249999999999 28.406249999999996, 76.845 28.40625, 76.845 28.399999999999995))",,
4,Crops,7.9906524367251635,30.9754222664676,,"POLYGON ((76.85249999999999 28.399999999999995, 76.85999999999999 28.4, 76.85999999999999 28.406250000000004, 76.85249999999999 28.406249999999996, 76.85249999999999 28.399999999999995))",,
4,Crops,7.081336628160299,30.995774555042868,,"POLYGON ((76.86 28.4, 76.86749999999999 28.400000000000002, 76.86749999999999 28.40625, 76.86 28.406250000000004, 76.86 28.4))",,
4,Crops,7.072622657427327,30.833590509374496,,"POLYGON ((76.86749999999999 28.400000000000002, 76.87499999999999 28.4, 76.87499999999999 28.40625, 76.86749999999999 28.40625, 76.86749999999999 28.400000000000002))",,
4,Crops,7.37439725516405,30.832621536419467,,"POLYGON ((76.875 28.4, 76.8825 28.400000000000002, 76.8825 28.40625, 76.875 28.40625, 76.875 28.4))",,
4,Crops,11.269636619735408,30.796774056131,,"POLYGON ((76.8825 28.400000000000002, 76.88999999999999 28.400000000000002, 76.88999999999999 28.40625, 76.8825 28.40625, 76.8825 28.400000000000002))",,
4,Crops,13.292271303726451,30.793349877785044,,"POLYGON ((76.89 28.400000000000002, 76.8975 28.4, 76.8975 28.40625, 76.89 28.40625, 76.89 28.400000000000002))",,
4,Crops,13.4507037583044,31.031576638848797,,"POLYGON ((76.8975 28.4, 76.90499999999999 28.4, 76.90499999999999 28.406249999999996, 76.8975 28.40625, 76.8975 28.4))",,
6,Built area,21.30926354887521,30.76099281467705,5.760992814677046,"POLYGON ((76.905 28.4, 76.9125 28.4, 76.9125 28.40625, 76.905 28.406249999999996, 76.905 28.4))",30.83310602289698,-0.07211320821993183
6,Built area,25.02605255917094,30.65902077997193,5.659020779971932,"POLYGON ((76.9125 28.4, 76.91999999999999 28.4, 76.91999999999999 28.406250000000004, 76.9125 28.40625, 76.9125 28.4))",30.794747615227408,-0.13572683525547902
6,Built area,23.154711681301308,30.575583142838816,5.575583142838816,"POLYGON ((76.92 28.4, 76.9275 28.399999999999995, 76.9275 28.40625, 76.92 28.406250000000004, 76.92 28.4))",30.708296553385146,-0.13271341054633012
6,Built area,27.332055726027125,30.51173478109196,5.51173478109196,"POLYGON ((76.9275 28.399999999999995, 76.93499999999999 28.4, 76.93499999999999 28.40625, 76.9275 28.40625, 76.9275 28.399999999999995))",30.654178697593373,-0.14244391650141353
6,Built area,25.55131362656416,30.49275781524415,5.492757815244151,"POLYGON ((76.935 28.4, 76.9425 28.4, 76.9425 28.40625, 76.935 28.406249999999996, 76.935 28.4))",30.592037912726102,-0.09928009748195166
6,Built area,30.7184488781428,30.538126009834933,5.538126009834933,"POLYGON ((76.9425 28.4, 76.94999999999999 28.399999999999995, 76.94999999999999 28.40625, 76.9425 28.40625, 76.9425 28.4))",30.534715447154497,0.0034105626804361577
6,Built area,31.020926592924948,30.29899514899518,5.2989951489951785,"POLYGON ((76.95 28.399999999999995, 76.9575 28.400000000000002, 76.9575 28.406250000000004, 76.95 28.40625, 76.95 28.399999999999995))",30.49511281317138,-0.19611766417620302
6,Built area,26.84589987983121,30.321286534302075,5.321286534302075,"POLYGON ((76.9575 28.400000000000002, 76.96499999999999 28.39999999999999, 76.96499999999999 28.40625, 76.9575 28.406250000000004, 76.9575 28.400000000000002))",30.44681047015689,-0.12552393585481525
6,Built area,23.62390806711265,30.35530191059845,5.355301910598449,"POLYGON ((76.965 28.39999999999999, 76.9725 28.4, 76.9725 28.40625, 76.965 28.40625, 76.965 28.39999999999999))",30.419869934762332,-0.06456802416388285
6,Built area,19.645770122960545,30.406075725026888,5.406075725026888,"POLYGON ((76.9725 28.4, 76.97999999999999 28.399999999999995, 76.97999999999999 28.40625, 76.9725 28.40625, 76.9725 28.4))",30.419869934762332,-0.013794209735443985
6,Built area,23.255017251483466,30.494730531165832,5.494730531165832,"POLYGON ((76.98 28.399999999999995, 76.9875 28.4, 76.9875 28.406250000000004, 76.98 28.40625, 76.98 28.399999999999995))",30.23427504347755,0.26045548768828297
