landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,no2,geometry
6,Built area,72.33225749,29.22094156,0.518325447,9.68E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0625, 28.4], [77.07, 28.4], [77.07, 28.40625], [77.0625, 28.40625], [77.0625, 28.4]]]}"
6,Built area,39.56601065,29.47325593,0.77063982,9.69E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.4], [77.0775, 28.4], [77.0775, 28.40625], [77.07000000000001, 28.40625], [77.07000000000001, 28.4]]]}"
6,Built area,31.19372022,29.71759297,1.014976862,9.69E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0775, 28.4], [77.085, 28.4], [77.085, 28.40625], [77.0775, 28.40625], [77.0775, 28.4]]]}"
6,Built area,41.93599969,29.56166357,0.859047456,9.68E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.08500000000001, 28.4], [77.0925, 28.4], [77.0925, 28.40625], [77.08500000000001, 28.40625], [77.08500000000001, 28.4]]]}"
6,Built area,45.49545707,29.45459708,0.751980973,9.63E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0925, 28.4], [77.1, 28.4], [77.1, 28.40625], [77.0925, 28.40625], [77.0925, 28.4]]]}"
6,Built area,42.68787712,29.34017617,0.637560063,9.58E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.4], [77.10749999999999, 28.4], [77.10749999999999, 28.40625], [77.1, 28.40625], [77.1, 28.4]]]}"
6,Built area,30.1965738,29.33926565,0.636649545,9.52E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1075, 28.4], [77.115, 28.4], [77.115, 28.40625], [77.1075, 28.40625], [77.1075, 28.4]]]}"
6,Built area,27.28695225,29.421268,0.718651891,9.48E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.115, 28.4], [77.12249999999999, 28.4], [77.12249999999999, 28.40625], [77.115, 28.40625], [77.115, 28.4]]]}"
6,Built area,16.28365259,29.5008977,0.798281587,9.44E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1225, 28.4], [77.13, 28.4], [77.13, 28.40625], [77.1225, 28.40625], [77.1225, 28.4]]]}"
6,Built area,8.006976318,29.45600797,0.753391859,9.33E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.4], [77.13749999999999, 28.4], [77.13749999999999, 28.40625], [77.13, 28.40625], [77.13, 28.4]]]}"
4,Crops,6.351528091,29.13059979,,9.26E-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1375, 28.4], [77.145, 28.4], [77.145, 28.40625], [77.1375, 28.40625], [77.1375, 28.4]]]}"
