"gid","landcover_","landcove_1","lighting_r","lst_celsiu","uhi_intens","no2","geom"
136,"1","Trees","3.625397595859017","27.745689683586050",NULL,"0.000092497461019","0106000000010000000103000000010000000500000085EB51B81E4D53400000000000683C4085EB51B81E4D53409A99999999693C4099999999994D53409A99999999693C4099999999994D53400000000000683C4085EB51B81E4D53400000000000683C40"
135,"1","Trees","3.901989813799802","27.904146341463445",NULL,"0.000091617367870","01060000000100000001030000000100000005000000713D0AD7A34C53400000000000683C40713D0AD7A34C53409A99999999693C4085EB51B81E4D53409A99999999693C4085EB51B81E4D53400000000000683C40713D0AD7A34C53400000000000683C40"
134,"1","Trees","4.664375004736152","28.000876730388956",NULL,"0.000090776606221","010600000001000000010300000001000000050000005C8FC2F5284C53400000000000683C405C8FC2F5284C53409A99999999693C40703D0AD7A34C53409A99999999693C40703D0AD7A34C53400000000000683C405C8FC2F5284C53400000000000683C40"
215,"1","Trees","4.864593948002798","28.079330097892850",NULL,"0.000093119706721","010600000001000000010300000001000000050000005C8FC2F5284C53409999999999693C405C8FC2F5284C534033333333336B3C40703D0AD7A34C534033333333336B3C40703D0AD7A34C53409999999999693C405C8FC2F5284C53409999999999693C40"
216,"1","Trees","3.744417218743143","27.896708146673333",NULL,"0.000093540083980","01060000000100000001030000000100000005000000713D0AD7A34C53409999999999693C40713D0AD7A34C534033333333336B3C4085EB51B81E4D534033333333336B3C4085EB51B81E4D53409999999999693C40713D0AD7A34C53409999999999693C40"
217,"1","Trees","3.385525411266392","27.624734797861709",NULL,"0.000094119279941","0106000000010000000103000000010000000500000085EB51B81E4D53409999999999693C4085EB51B81E4D534033333333336B3C4099999999994D534033333333336B3C4099999999994D53409999999999693C4085EB51B81E4D53409999999999693C40"
218,"1","Trees","3.267076269650864","27.382462585034041",NULL,"0.000094797889435","010600000001000000010300000001000000050000009A999999994D53409999999999693C409A999999994D534033333333336B3C40AE47E17A144E534033333333336B3C40AE47E17A144E53409999999999693C409A999999994D53409999999999693C40"
133,"4","Crops","4.113094643838893","28.221753774680622",NULL,"0.000089784021760","0106000000010000000103000000010000000500000048E17A14AE4B53400000000000683C4048E17A14AE4B53409A99999999693C405C8FC2F5284C53409A99999999693C405C8FC2F5284C53400000000000683C4048E17A14AE4B53400000000000683C40"
132,"1","Trees","4.519671118882616","28.148048780487841",NULL,"0.000090378947880","0106000000010000000103000000010000000500000033333333334B53400000000000683C4033333333334B53409A99999999693C4047E17A14AE4B53409A99999999693C4047E17A14AE4B53400000000000683C4033333333334B53400000000000683C40"
131,"1","Trees","6.807191089526852","28.063249835201120",NULL,"0.000090241455530","010600000001000000010300000001000000050000001F85EB51B84A53400000000000683C401F85EB51B84A53409A99999999693C4033333333334B53409A99999999693C4033333333334B53400000000000683C401F85EB51B84A53400000000000683C40"
