landcover_class,geometry,landcover_name
6.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.424999999999997], [77.07000000000001, 28.424999999999997], [77.07000000000001, 28.449999999999996], [77.04, 28.449999999999996], [77.04, 28.424999999999997]]]}",Built area
5.999999999999998,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.424999999999997], [77.10000000000001, 28.424999999999997], [77.10000000000001, 28.449999999999996], [77.07000000000001, 28.449999999999996], [77.07000000000001, 28.424999999999997]]]}",
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.424999999999997], [77.13, 28.424999999999997], [77.13, 28.449999999999996], [77.1, 28.449999999999996], [77.1, 28.424999999999997]]]}",Trees
5.999999999999997,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.424999999999997], [77.16, 28.424999999999997], [77.16, 28.449999999999996], [77.13, 28.449999999999996], [77.13, 28.424999999999997]]]}",
5.999999999999998,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.424999999999997], [77.19, 28.424999999999997], [77.19, 28.449999999999996], [77.16, 28.449999999999996], [77.16, 28.424999999999997]]]}",
6.000000000000001,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.424999999999997], [77.22, 28.424999999999997], [77.22, 28.449999999999996], [77.19, 28.449999999999996], [77.19, 28.424999999999997]]]}",
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.22, 28.424999999999997], [77.25, 28.424999999999997], [77.25, 28.449999999999996], [77.22, 28.449999999999996], [77.22, 28.424999999999997]]]}",Trees
1.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.25, 28.424999999999997], [77.28, 28.424999999999997], [77.28, 28.449999999999996], [77.25, 28.449999999999996], [77.25, 28.424999999999997]]]}",Trees
5.999999999999993,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.28, 28.424999999999997], [77.31, 28.424999999999997], [77.31, 28.449999999999996], [77.28, 28.449999999999996], [77.28, 28.424999999999997]]]}",
6.000000000000008,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.31, 28.424999999999997], [77.34, 28.424999999999997], [77.34, 28.449999999999996], [77.31, 28.449999999999996], [77.31, 28.424999999999997]]]}",
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.34, 28.424999999999997], [77.37, 28.424999999999997], [77.37, 28.449999999999996], [77.34, 28.449999999999996], [77.34, 28.424999999999997]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.37, 28.424999999999997], [77.4, 28.424999999999997], [77.4, 28.449999999999996], [77.37, 28.449999999999996], [77.37, 28.424999999999997]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.4, 28.424999999999997], [77.43, 28.424999999999997], [77.43, 28.449999999999996], [77.4, 28.449999999999996], [77.4, 28.424999999999997]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8, 28.45], [76.83, 28.45], [76.83, 28.474999999999998], [76.8, 28.474999999999998], [76.8, 28.45]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.83, 28.45], [76.86, 28.45], [76.86, 28.474999999999998], [76.83, 28.474999999999998], [76.83, 28.45]]]}",Crops
4.0,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.86, 28.45], [76.89, 28.45], [76.89, 28.474999999999998], [76.86, 28.474999999999998], [76.86, 28.45]]]}",Crops
