landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,geometry,uhi_city_rural_median
6,Built area,26.84589987983121,30.321286534302075,5.321286534302075,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9575, 28.4], [76.96499999999999, 28.4], [76.96499999999999, 28.40625], [76.9575, 28.40625], [76.9575, 28.4]]]}",1.6186704241814134
6,Built area,23.62390806711265,30.35530191059845,5.355301910598449,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.965, 28.4], [76.9725, 28.4], [76.9725, 28.40625], [76.965, 28.40625], [76.965, 28.4]]]}",1.6526858004777871
6,Built area,19.645770122960545,30.406075725026888,5.406075725026888,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9725, 28.4], [76.97999999999999, 28.4], [76.97999999999999, 28.40625], [76.9725, 28.40625], [76.9725, 28.4]]]}",1.703459614906226
6,Built area,23.255017251483466,30.494730531165832,5.494730531165832,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.98, 28.4], [76.9875, 28.4], [76.9875, 28.40625], [76.98, 28.40625], [76.98, 28.4]]]}",1.79211442104517
6,Built area,28.30115420304252,30.616696403990947,5.616696403990947,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.9875, 28.4], [76.99499999999999, 28.4], [76.99499999999999, 28.40625], [76.9875, 28.40625], [76.9875, 28.4]]]}",1.9140802938702848
6,Built area,24.477883707210548,30.38366320166324,5.383663201663239,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.995, 28.4], [77.0025, 28.4], [77.0025, 28.40625], [76.995, 28.40625], [76.995, 28.4]]]}",1.6810470915425775
6,Built area,23.546621024709808,30.38580610867831,5.38580610867831,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0025, 28.4], [77.00999999999999, 28.4], [77.00999999999999, 28.40625], [77.0025, 28.40625], [77.0025, 28.4]]]}",1.6831899985576477
6,Built area,26.618169267298818,30.126707651637044,5.1267076516370444,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.4], [77.0175, 28.4], [77.0175, 28.40625], [77.01, 28.40625], [77.01, 28.4]]]}",1.4240915415163826
6,Built area,22.654171827677136,29.85016772040749,4.850167720407494,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0175, 28.4], [77.02499999999999, 28.4], [77.02499999999999, 28.40625], [77.0175, 28.40625], [77.0175, 28.4]]]}",1.147551610286829
6,Built area,24.36879509697544,29.60073687423691,4.600736874236912,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.025, 28.4], [77.0325, 28.4], [77.0325, 28.40625], [77.025, 28.40625], [77.025, 28.4]]]}",0.8981207641162499
6,Built area,36.21924545158775,29.3332154088653,4.3332154088653,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0325, 28.4], [77.03999999999999, 28.4], [77.03999999999999, 28.40625], [77.0325, 28.40625], [77.0325, 28.4]]]}",0.630599298744638
6,Built area,42.33577747602721,28.889841793012568,3.889841793012568,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.4], [77.0475, 28.4], [77.0475, 28.40625], [77.04, 28.40625], [77.04, 28.4]]]}",0.18722568289190633
6,Built area,36.87082750865853,29.03273958851837,4.032739588518371,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0475, 28.4], [77.05499999999999, 28.4], [77.05499999999999, 28.40625], [77.0475, 28.40625], [77.0475, 28.4]]]}",0.3301234783977094
6,Built area,51.09565313886504,29.075030944085004,4.075030944085004,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.055, 28.4], [77.0625, 28.4], [77.0625, 28.40625], [77.055, 28.40625], [77.055, 28.4]]]}",0.37241483396434205
6,Built area,72.33225748990034,29.22094155664593,4.220941556645926,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0625, 28.4], [77.07, 28.4], [77.07, 28.40625], [77.0625, 28.40625], [77.0625, 28.4]]]}",0.5183254465252674
6,Built area,39.5660106548834,29.473255930504525,4.473255930504525,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.4], [77.0775, 28.4], [77.0775, 28.40625], [77.07000000000001, 28.40625], [77.07000000000001, 28.4]]]}",0.7706398203838631
6,Built area,31.19372021949897,29.717592971913025,4.7175929719130245,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0775, 28.4], [77.085, 28.4], [77.085, 28.40625], [77.0775, 28.40625], [77.0775, 28.4]]]}",1.0149768617923627
6,Built area,41.93599969249661,29.561663566400423,4.561663566400426,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.08500000000001, 28.4], [77.0925, 28.4], [77.0925, 28.40625], [77.08500000000001, 28.40625], [77.08500000000001, 28.4]]]}",0.859047456279761
6,Built area,45.495457070560775,29.45459708280188,4.454597082801879,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0925, 28.4], [77.1, 28.4], [77.1, 28.40625], [77.0925, 28.40625], [77.0925, 28.4]]]}",0.751980972681217
6,Built area,42.687877123950905,29.34017617303333,4.340176173033331,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.4], [77.10749999999999, 28.4], [77.10749999999999, 28.40625], [77.1, 28.40625], [77.1, 28.4]]]}",0.6375600629126694
6,Built area,30.196573802864087,29.339265654979965,4.339265654979965,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1075, 28.4], [77.115, 28.4], [77.115, 28.40625], [77.1075, 28.40625], [77.1075, 28.4]]]}",0.6366495448593028
6,Built area,27.28695224865588,29.421268001405025,4.421268001405025,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.115, 28.4], [77.12249999999999, 28.4], [77.12249999999999, 28.40625], [77.115, 28.40625], [77.115, 28.4]]]}",0.7186518912843631
6,Built area,16.283652585239732,29.500897697540573,4.500897697540573,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1225, 28.4], [77.13, 28.4], [77.13, 28.40625], [77.1225, 28.40625], [77.1225, 28.4]]]}",0.7982815874199112
6,Built area,8.006976317715,29.45600796950802,4.456007969508018,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.4], [77.13749999999999, 28.4], [77.13749999999999, 28.40625], [77.13, 28.40625], [77.13, 28.4]]]}",0.7533918593873565
4,Crops,6.351528090815391,29.13059979209981,,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1375, 28.4], [77.145, 28.4], [77.145, 28.40625], [77.1375, 28.40625], [77.1375, 28.4]]]}",
6,Built area,7.123389923774592,29.02163265306124,4.021632653061239,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.145, 28.4], [77.15249999999999, 28.4], [77.15249999999999, 28.40625], [77.145, 28.40625], [77.145, 28.4]]]}",0.31901654294057735
1,Trees,6.536925735505853,28.742071428571453,,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1525, 28.4], [77.16, 28.4], [77.16, 28.40625], [77.1525, 28.40625], [77.1525, 28.4]]]}",
1,Trees,5.033872990689035,28.420608179857343,,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.16, 28.4], [77.16749999999999, 28.4], [77.16749999999999, 28.40625], [77.16, 28.40625], [77.16, 28.4]]]}",
1,Trees,5.898098502782487,28.27354703832756,,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1675, 28.4], [77.175, 28.4], [77.175, 28.40625], [77.1675, 28.40625], [77.1675, 28.4]]]}",
1,Trees,5.516290071239761,28.23406064601191,,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.175, 28.4], [77.18249999999999, 28.4], [77.18249999999999, 28.40625], [77.175, 28.40625], [77.175, 28.4]]]}",
1,Trees,4.12079805105368,28.04122946739675,,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1825, 28.4], [77.19, 28.4], [77.19, 28.40625], [77.1825, 28.40625], [77.1825, 28.4]]]}",
1,Trees,4.511110175666162,27.87936120789782,,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.19, 28.4], [77.19749999999999, 28.4], [77.19749999999999, 28.40625], [77.19, 28.40625], [77.19, 28.4]]]}",
1,Trees,3.801055688310314,27.713481456732406,,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1975, 28.4], [77.205, 28.4], [77.205, 28.40625], [77.1975, 28.40625], [77.1975, 28.4]]]}",
