landcover_class,landcover_name,lighting_radiance,geometry
6,Built area,23.546621024709808,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0025, 28.4], [77.00999999999999, 28.4], [77.00999999999999, 28.40625], [77.0025, 28.40625], [77.0025, 28.4]]]}"
6,Built area,26.618169267298818,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01, 28.4], [77.0175, 28.4], [77.0175, 28.40625], [77.01, 28.40625], [77.01, 28.4]]]}"
6,Built area,22.654171827677136,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0175, 28.4], [77.02499999999999, 28.4], [77.02499999999999, 28.40625], [77.0175, 28.40625], [77.0175, 28.4]]]}"
6,Built area,24.368795096975436,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.025, 28.4], [77.0325, 28.4], [77.0325, 28.40625], [77.025, 28.40625], [77.025, 28.4]]]}"
6,Built area,36.21924545158775,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0325, 28.4], [77.03999999999999, 28.4], [77.03999999999999, 28.40625], [77.0325, 28.40625], [77.0325, 28.4]]]}"
6,Built area,42.33577747602721,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.04, 28.4], [77.0475, 28.4], [77.0475, 28.40625], [77.04, 28.40625], [77.04, 28.4]]]}"
6,Built area,36.87082750865853,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0475, 28.4], [77.05499999999999, 28.4], [77.05499999999999, 28.40625], [77.0475, 28.40625], [77.0475, 28.4]]]}"
6,Built area,51.09565313886504,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.055, 28.4], [77.0625, 28.4], [77.0625, 28.40625], [77.055, 28.40625], [77.055, 28.4]]]}"
6,Built area,72.33225748990034,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0625, 28.4], [77.07, 28.4], [77.07, 28.40625], [77.0625, 28.40625], [77.0625, 28.4]]]}"
6,Built area,39.5660106548834,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.07000000000001, 28.4], [77.0775, 28.4], [77.0775, 28.40625], [77.07000000000001, 28.40625], [77.07000000000001, 28.4]]]}"
6,Built area,31.193720219498974,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0775, 28.4], [77.085, 28.4], [77.085, 28.40625], [77.0775, 28.40625], [77.0775, 28.4]]]}"
6,Built area,41.93599969249661,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.08500000000001, 28.4], [77.0925, 28.4], [77.0925, 28.40625], [77.08500000000001, 28.40625], [77.08500000000001, 28.4]]]}"
6,Built area,45.495457070560775,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.0925, 28.4], [77.1, 28.4], [77.1, 28.40625], [77.0925, 28.40625], [77.0925, 28.4]]]}"
6,Built area,42.687877123950905,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1, 28.4], [77.10749999999999, 28.4], [77.10749999999999, 28.40625], [77.1, 28.40625], [77.1, 28.4]]]}"
6,Built area,30.196573802864087,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1075, 28.4], [77.115, 28.4], [77.115, 28.40625], [77.1075, 28.40625], [77.1075, 28.4]]]}"
6,Built area,27.28695224865588,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.115, 28.4], [77.12249999999999, 28.4], [77.12249999999999, 28.40625], [77.115, 28.40625], [77.115, 28.4]]]}"
6,Built area,16.283652585239732,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1225, 28.4], [77.13, 28.4], [77.13, 28.40625], [77.1225, 28.40625], [77.1225, 28.4]]]}"
6,Built area,8.006976317715,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.13, 28.4], [77.13749999999999, 28.4], [77.13749999999999, 28.40625], [77.13, 28.40625], [77.13, 28.4]]]}"
4,Crops,6.351528090815391,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.1375, 28.4], [77.145, 28.4], [77.145, 28.40625], [77.1375, 28.40625], [77.1375, 28.4]]]}"
6,Built area,7.1233899237745915,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.145, 28.4], [77.15249999999999, 28.4], [77.15249999999999, 28.40625], [77.145, 28.40625], [77.145, 28.4]]]}"
