landcover_class,landcover_name,lighting_radiance,lst_celsius,uhi_intensity,no2,geometry
7,Bare ground,1.3237351653645335,40.218314731920856,,2.0880314744497087e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.72731193046185, 27.655969019046534], [70.81001924754966, 27.655969019046534], [70.81001924754966, 27.719579790158267], [70.72731193046185, 27.719579790158267], [70.72731193046185, 27.655969019046534]]]}"
7,Bare ground,0.9436222373620009,39.79648436524911,,2.0771576524741733e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.81001924754966, 27.655969019046534], [70.89272656463747, 27.655969019046534], [70.89272656463747, 27.719579790158267], [70.81001924754966, 27.719579790158267], [70.81001924754966, 27.655969019046534]]]}"
7,Bare ground,1.6350466376103931,40.01564217637836,,2.0760997452234297e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.89272656463747, 27.655969019046534], [70.97543388172528, 27.655969019046534], [70.97543388172528, 27.719579790158267], [70.89272656463747, 27.719579790158267], [70.89272656463747, 27.655969019046534]]]}"
4,Crops,1.3069326538225763,31.003710918758625,,3.934005151171886e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8476533949598, 27.655969019046534], [76.93036071204762, 27.655969019046534], [76.93036071204762, 27.719579790158267], [76.8476533949598, 27.719579790158267], [76.8476533949598, 27.655969019046534]]]}"
4,Crops,1.4910666904857501,31.311078955730242,,3.99690582804912e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.93036071204762, 27.655969019046534], [77.01306802913543, 27.655969019046534], [77.01306802913543, 27.719579790158267], [76.93036071204762, 27.719579790158267], [76.93036071204762, 27.655969019046534]]]}"
7,Bare ground,1.164524161116815,40.072973616764685,,2.0392389591822274e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.64460461337404, 27.719579790158267], [70.72731193046185, 27.719579790158267], [70.72731193046185, 27.78319056127], [70.64460461337404, 27.78319056127], [70.64460461337404, 27.719579790158267]]]}"
7,Bare ground,0.5667527162229435,39.879510973204916,,2.0503612579560608e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.72731193046185, 27.719579790158267], [70.81001924754966, 27.719579790158267], [70.81001924754966, 27.78319056127], [70.72731193046185, 27.78319056127], [70.72731193046185, 27.719579790158267]]]}"
7,Bare ground,0.4909621712692486,39.745269628781365,,2.0316328110917545e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.81001924754966, 27.719579790158267], [70.89272656463747, 27.719579790158267], [70.89272656463747, 27.78319056127], [70.81001924754966, 27.78319056127], [70.81001924754966, 27.719579790158267]]]}"
7,Bare ground,0.6622627025876863,39.540534999988935,,2.057715302751203e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.89272656463747, 27.719579790158267], [70.97543388172528, 27.719579790158267], [70.97543388172528, 27.78319056127], [70.89272656463747, 27.78319056127], [70.89272656463747, 27.719579790158267]]]}"
7,Bare ground,0.5920641958228771,39.61757228380844,,2.099536669401703e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.97543388172528, 27.719579790158267], [71.05814119881309, 27.719579790158267], [71.05814119881309, 27.78319056127], [70.97543388172528, 27.78319056127], [70.97543388172528, 27.719579790158267]]]}"
7,Bare ground,0.698502144615712,39.02553917956279,,2.14877894399324e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[71.05814119881309, 27.719579790158267], [71.1408485159009, 27.719579790158267], [71.1408485159009, 27.78319056127], [71.05814119881309, 27.78319056127], [71.05814119881309, 27.719579790158267]]]}"
1,Trees,0.9995070332575353,29.002433962576784,,3.979786182255725e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.8476533949598, 27.719579790158267], [76.93036071204762, 27.719579790158267], [76.93036071204762, 27.78319056127], [76.8476533949598, 27.78319056127], [76.8476533949598, 27.719579790158267]]]}"
4,Crops,2.4545764932082514,30.131427225798827,,4.173833956793608e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[76.93036071204762, 27.719579790158267], [77.01306802913543, 27.719579790158267], [77.01306802913543, 27.78319056127], [76.93036071204762, 27.78319056127], [76.93036071204762, 27.719579790158267]]]}"
4,Crops,2.5410938003865002,30.70436913361007,,4.429746288324863e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.01306802913544, 27.719579790158267], [77.09577534622325, 27.719579790158267], [77.09577534622325, 27.78319056127], [77.01306802913544, 27.78319056127], [77.01306802913544, 27.719579790158267]]]}"
4,Crops,1.5100730033251493,29.568837846060248,,4.5982073076624316e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[77.09577534622325, 27.719579790158267], [77.17848266331106, 27.719579790158267], [77.17848266331106, 27.78319056127], [77.09577534622325, 27.78319056127], [77.09577534622325, 27.719579790158267]]]}"
7,Bare ground,0.6384712559649433,40.27628299765509,,2.0707630364847225e-05,"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[70.64460461337404, 27.783190561270004], [70.72731193046185, 27.783190561270004], [70.72731193046185, 27.846801332381737], [70.64460461337404, 27.846801332381737], [70.64460461337404, 27.783190561270004]]]}"
